DATE,vwretd
2010-01-04,0.017123
2010-01-05,0.003374
2010-01-06,0.002046
2010-01-07,0.002860
2010-01-08,0.004173
2010-01-11,0.001141
2010-01-12,-0.010995
2010-01-13,0.008636
2010-01-14,0.002307
2010-01-15,-0.011325
2010-01-19,0.012057
2010-01-20,-0.011075
2010-01-21,-0.017773
2010-01-22,-0.021002
2010-01-25,0.003901
2010-01-26,-0.004922
2010-01-27,0.004186
2010-01-28,-0.011333
2010-01-29,-0.010302
2010-02-01,0.015111
2010-02-02,0.012229
2010-02-03,-0.004982
2010-02-04,-0.031982
2010-02-05,0.002653
2010-02-08,-0.008235
2010-02-09,0.013880
2010-02-10,-0.001476
2010-02-11,0.012086
2010-02-12,-0.000652
2010-02-16,0.017979
2010-02-17,0.004659
2010-02-18,0.006192
2010-02-19,0.002459
2010-02-22,-0.001114
2010-02-23,-0.013085
2010-02-24,0.008534
2010-02-25,-0.000709
2010-02-26,0.001843
2010-03-01,0.011987
2010-03-02,0.004423
2010-03-03,0.001605
2010-03-04,0.003100
2010-03-05,0.014507
2010-03-08,0.000714
2010-03-09,0.001653
2010-03-10,0.005048
2010-03-11,0.003968
2010-03-12,0.000759
2010-03-15,-0.000684
2010-03-16,0.008745
2010-03-17,0.005613
2010-03-18,-0.002034
2010-03-19,-0.006911
2010-03-22,0.005863
2010-03-23,0.007665
2010-03-24,-0.006621
2010-03-25,-0.002437
2010-03-26,0.000678
2010-03-29,0.006797
2010-03-30,0.000458
2010-03-31,-0.002766
2010-04-01,0.008641
2010-04-05,0.009547
2010-04-06,0.002121
2010-04-07,-0.005367
2010-04-08,0.002831
2010-04-09,0.006705
2010-04-12,0.001771
2010-04-13,0.000740
2010-04-14,0.012332
2010-04-15,0.000089
2010-04-16,-0.016121
2010-04-19,0.002261
2010-04-20,0.009813
2010-04-21,-0.000540
2010-04-22,0.003577
2010-04-23,0.007444
2010-04-26,-0.003232
2010-04-27,-0.023848
2010-04-28,0.005240
2010-04-29,0.013643
2010-04-30,-0.016839
2010-05-03,0.012859
2010-05-04,-0.025371
2010-05-05,-0.009209
2010-05-06,-0.032542
2010-05-07,-0.015859
2010-05-10,0.044920
2010-05-11,-0.000949
2010-05-12,0.016270
2010-05-13,-0.010838
2010-05-14,-0.019413
2010-05-17,-0.000579
2010-05-18,-0.013644
2010-05-19,-0.007142
2010-05-20,-0.040377
2010-05-21,0.015298
2010-05-24,-0.012043
2010-05-25,-0.000159
2010-05-26,-0.002863
2010-05-27,0.035093
2010-05-28,-0.011760
2010-06-01,-0.018508
2010-06-02,0.026567
2010-06-03,0.004783
2010-06-04,-0.035862
2010-06-07,-0.014030
2010-06-08,0.009235
2010-06-09,-0.003825
2010-06-10,0.029517
2010-06-11,0.006194
2010-06-14,0.000013
2010-06-15,0.023852
2010-06-16,-0.001219
2010-06-17,0.000896
2010-06-18,0.001710
2010-06-21,-0.004309
2010-06-22,-0.016156
2010-06-23,-0.002917
2010-06-24,-0.016272
2010-06-25,0.006060
2010-06-28,-0.003129
2010-06-29,-0.032886
2010-06-30,-0.008948
2010-07-01,-0.003930
2010-07-02,-0.004749
2010-07-06,0.003316
2010-07-07,0.030891
2010-07-08,0.009561
2010-07-09,0.008916
2010-07-12,-0.001350
2010-07-13,0.017213
2010-07-14,-0.000642
2010-07-15,0.000415
2010-07-16,-0.028543
2010-07-19,0.004999
2010-07-20,0.012639
2010-07-21,-0.012835
2010-07-22,0.023576
2010-07-23,0.009631
2010-07-26,0.011615
2010-07-27,-0.002541
2010-07-28,-0.007459
2010-07-29,-0.002589
2010-07-30,0.001513
2010-08-02,0.020555
2010-08-03,-0.005157
2010-08-04,0.007461
2010-08-05,-0.002496
2010-08-06,-0.003549
2010-08-09,0.005856
2010-08-10,-0.007992
2010-08-11,-0.029230
2010-08-12,-0.004674
2010-08-13,-0.003874
2010-08-16,0.001455
2010-08-17,0.013886
2010-08-18,0.002330
2010-08-19,-0.016704
2010-08-20,-0.003305
2010-08-23,-0.004861
2010-08-24,-0.014445
2010-08-25,0.004577
2010-08-26,-0.006625
2010-08-27,0.018433
2010-08-30,-0.014218
2010-08-31,0.000119
2010-09-01,0.029106
2010-09-02,0.009547
2010-09-03,0.012980
2010-09-07,-0.011863
2010-09-08,0.006330
2010-09-09,0.003763
2010-09-10,0.004477
2010-09-13,0.012869
2010-09-14,-0.000108
2010-09-15,0.002952
2010-09-16,-0.000750
2010-09-17,0.001128
2010-09-20,0.015179
2010-09-21,-0.003097
2010-09-22,-0.005023
2010-09-23,-0.008117
2010-09-24,0.021202
2010-09-27,-0.004459
2010-09-28,0.005787
2010-09-29,-0.001083
2010-09-30,-0.001975
2010-10-01,0.004939
2010-10-04,-0.008293
2010-10-05,0.020563
2010-10-06,-0.000333
2010-10-07,-0.002121
2010-10-08,0.007621
2010-10-11,0.000566
2010-10-12,0.003647
2010-10-13,0.008784
2010-10-14,-0.003666
2010-10-15,0.000702
2010-10-18,0.006296
2010-10-19,-0.017210
2010-10-20,0.011274
2010-10-21,0.000265
2010-10-22,0.002654
2010-10-25,0.003724
2010-10-26,-0.000427
2010-10-27,-0.003317
2010-10-28,0.001141
2010-10-29,0.001662
2010-11-01,0.000145
2010-11-02,0.009053
2010-11-03,0.003439
2010-11-04,0.019913
2010-11-05,0.004019
2010-11-08,-0.000910
2010-11-09,-0.008463
2010-11-10,0.005389
2010-11-11,-0.003605
2010-11-12,-0.013391
2010-11-15,-0.001330
2010-11-16,-0.016850
2010-11-17,0.001622
2010-11-18,0.015558
2010-11-19,0.003742
2010-11-22,-0.000273
2010-11-23,-0.014121
2010-11-24,0.015679
2010-11-26,-0.006877
2010-11-29,-0.000917
2010-11-30,-0.005788
2010-12-01,0.020817
2010-12-02,0.012228
2010-12-03,0.003962
2010-12-06,0.000025
2010-12-07,0.000191
2010-12-08,0.001544
2010-12-09,0.003574
2010-12-10,0.006422
2010-12-13,0.000182
2010-12-14,0.000271
2010-12-15,-0.005256
2010-12-16,0.005846
2010-12-17,0.001571
2010-12-20,0.001818
2010-12-21,0.007205
2010-12-22,0.003135
2010-12-23,-0.001198
2010-12-27,0.000668
2010-12-28,0.000786
2010-12-29,0.002732
2010-12-30,-0.000803
2010-12-31,-0.000232
2011-01-03,0.011212
2011-01-04,-0.003895
2011-01-05,0.005382
2011-01-06,-0.002515
2011-01-07,-0.001949
2011-01-10,-0.000709
2011-01-11,0.005048
2011-01-12,0.009014
2011-01-13,-0.001889
2011-01-14,0.006630
2011-01-18,0.002176
2011-01-19,-0.012250
2011-01-20,-0.003837
2011-01-21,0.001261
2011-01-24,0.006289
2011-01-25,-0.000428
2011-01-26,0.007332
2011-01-27,0.002133
2011-01-28,-0.017202
2011-01-31,0.007617
2011-02-01,0.017025
2011-02-02,-0.002229
